9-22-2006	38.8
9-23-2006	36.7
9-24-2006	36.9
9-25-2006	432
9-26-2006	281
9-27-2006	154
9-28-2006	91.8
9-29-2006	45.9
9-30-2006	46.9
10-01-2006	46.3
10-02-2006	46.6
10-03-2006	47.1
10-04-2006	50
10-05-2006	48
10-06-2006	49.1
10-07-2006	50.8
10-08-2006	50.1
10-09-2006	50.1
10-10-2006	46.8
10-11-2006	37
10-12-2006	38.2
10-13-2006	39.5
10-14-2006	43.5
10-15-2006	44.4
10-16-2006	46
10-17-2006	45.7
10-18-2006	46.1
10-19-2006	52.5
10-20-2006	48
10-21-2006	54
10-22-2006	53.1
10-23-2006	55.4
10-24-2006	59.3
10-25-2006	58.2
10-26-2006	64
10-27-2006	63.5
10-28-2006	64.9
10-29-2006	63.8
10-30-2006	62.3
10-31-2006	65.5
11-01-2006	63.9
11-02-2006	64.9
11-03-2006	62.2
11-04-2006	64
11-05-2006	64.5
11-06-2006	65.5
11-07-2006	66
11-08-2006	65
11-09-2006	67.7
11-10-2006	68.6
11-11-2006	66.9
11-12-2006	65.9
11-13-2006	67.4
11-14-2006	66.8
11-15-2006	66.9
11-16-2006	66.5
11-17-2006	69.9
11-18-2006	74
11-19-2006	57.1
11-20-2006	56.1
11-21-2006	57.5
11-22-2006	56.6
11-23-2006	57.9
11-24-2006	61.6
11-25-2006	62.4
11-26-2006	62.8
11-27-2006	61.9
11-28-2006	59.8
11-29-2006	62.3
11-30-2006	61.9
12-01-2006	60.8
12-02-2006	61.8
12-03-2006	86.8
12-04-2006	89.3
12-05-2006	68.8
12-06-2006	264
12-07-2006	432
12-08-2006	344
12-09-2006	509
12-10-2006	281
12-11-2006	174
12-12-2006	111
12-13-2006	81
12-14-2006	52.4
12-15-2006	51
12-16-2006	51.9
12-17-2006	53.3
12-18-2006	50.9
12-19-2006	49.8
12-20-2006	63
12-21-2006	53.3
12-22-2006	47
12-23-2006	48.7
12-24-2006	48.3
12-25-2006	46.9
12-26-2006	47.1
12-27-2006	55.7
12-28-2006	64.3
3-17-2008	19.9
3-18-2008	20.3
3-19-2008	21.7
3-20-2008	21.4
3-21-2008	23.5
3-22-2008	26
3-23-2008	25
3-24-2008	23.6
3-25-2008	21.5
3-26-2008	23.4
3-27-2008	25.6
3-28-2008	19.4
3-29-2008	19.2
3-30-2008	19.9
3-31-2008	20.2
04-01-2008	19.4
04-02-2008	19.4
04-03-2008	19.4
04-04-2008	19.6
04-05-2008	19.6
04-06-2008	20
04-07-2008	21.4
04-08-2008	22.5
04-09-2008	20.7
04-10-2008	19.5
04-11-2008	89.9
04-12-2008	94
4-13-2008	25.6
4-14-2008	20.6
4-15-2008	18.9
4-16-2008	18.8
4-17-2008	21.8
4-18-2008	15.4
4-19-2008	88.3
4-20-2008	45.2
4-21-2008	165
4-22-2008	96.2
4-23-2008	28.6
4-24-2008	27.3
4-25-2008	19.8
4-26-2008	26.1
4-27-2008	26.3
4-28-2008	18.7
4-29-2008	18.7
4-30-2008	19.9
05-01-2008	18.6
05-02-2008	19.1
05-03-2008	18.4
05-04-2008	36.4
05-05-2008	53.4
05-06-2008	54.8
05-07-2008	23.2
05-08-2008	20.1
05-09-2008	19.6
05-10-2008	25.7
05-11-2008	42
05-12-2008	24.8
